Alberto Schaeffer Filho,UFRGS,89/1649
Aldri Santos,UFPR,85/7266
Altair Olivo Santin,PUCPR,38/5417
Andre Gregio,UFPR,115/4570
Carlos Alberto da Silva,UFMS,168/9632
Carlos Eduardo da Silva,UFRN,78/7056
Carla Westphall,UFSC,w/CarlaMerkleWestphall
Carlos Maziero,UTFPR/UFPR,m/CarlosMaziero
Celio Vinicius Neves de Albuquerque,UFF,40/809
Denise Goya,UFABC,164/3322
Diego Aranha,UNICAMP,75/5361
Dorgival Guedes,UFMG,n/DorgivalOlavoGuedesNeto
Edna Dias Canedo,UnB,118/8796
Eduardo Alchieri,UnB,06/2528
Eduardo Feitosa,UFAM,37/8061
Jean Martina,UFSC,24/765
Jeroen Graaf,UFMG,27/6925
Joaquim Celestino,UECE,97/7714
Karina Mochetti,UFF,72/7881
Leonardo Fagundes,UVRS,99/217
Leonardo Barbosa,UFMG,22/175
Lisandro Zambenedetti Granville,UFRGS,52/4475
Luciano Paschoal Gaspary,UFRGS,g/LPGaspary
Luiz Carlos Albini,UFPR,78/5871
Marco Aurelio Amaral Henriques,UNICAMP,72/1263
Marcos Simplicio Jr,Poli-USP,79/2420
Marinho Barcellos,UFRGS,b/MarinhoPBarcellos
Mario Sergio Alvim,UFMG,84/8371
Marjory Abreu,UFRN,18/7422
Michele Nogueira,UFPR,22/4022
Michelle Wangham,UNIVALI,82/6811
Miguel Castro,UFC,37/3973
Miguel Elias Mitre Campista,UFRJ,02/4935
Otto Carlos Muniz Bandeira Duarte,UFRJ,18/2077
Paulo Andre da Silva Goncalves,UFPE,29/3529
Paulo Licio de Geus,UNICAMP,79/4220
Pedro Braconnot Velloso,UFRJ,03/2074
Priscila Solis,UnB,177/4897
Rafael de Sousa Junior,UnB,s/RTdeSousaJ
Raul Ceretta Nunes,UFSM,76/5337
Ricardo Custodio,UFSC,95/6830
Ricardo Dahab,UNICAMP,79/6780
Rossana Andrade,UFC,61/6138
Routo Terada,IME-USP,t/RoutoTerada
