FOCS,FOCS,1
SODA,SODA,1
STOC,STOC,1
ICALP,ICALP,3
ISAAC,ISAAC,3
LATIN,LATIN,3
MFCS,MFCS,3
STACS,STACS,3
ESA,ESA,3
SWAT,SWAT,3
WADS,WADS,3
WG,WG,3
CONCUR,CONCUR,3
CCC,CCC,3
Symposium on Computational Geometry,SoCG,3
Theor. Comput. Sci.,Theor. Comput. Sci.,6
J. ACM,Journal ACM,5
SIAM J. Comput.,SIAM J. Computing,5
Discrete Applied Mathematics, Discrete Applied Math.,6
ACM Trans. Algorithms,ACM TALG,4
Discrete Mathematics,Discrete Mathematics,6
Algorithmica,Algorithmica,5
TOCT,ACM TOCT,4
SIAM J. Discrete Math.,SIAM J. Discrete Mathematics,5
Combinatorica,Combinatorica,5
