Alneu de Andrade Lopes,ICMC/USP
Ana Karolinna Maia,UFC
Ana Teresa Martins,UFC
Andre Luis Vignatti,UFPR
Andre Luiz Pires Guedes,UFPR
Andre Rossi,UNESP
Artur Ziviani,LNCC
Aurora Pozo,UFPR
Carlos Ferreira,IME/USP
Carlos Lima,UFCA
Celina de Figueiredo,COPPE/UFRJ
Christiane Neme Campos,UNICAMP
Cid Carvalho de Souza,UNICAMP
Claudia Linhares Sales,UFC
Claudson Bornstein,DCC/UFRJ
Cristina Fernandes,IME/USP
Danilo Barbosa Coimbra,UFBA
Diana Adamatti,FURG
Diana Sasaki Nobrega,UERJ
Eduardo Candido Xavier,UNICAMP
Eduardo Sany Laber,PUC-Rio
Elias Duarte,UFPR
Fabio Protti,UFF
Felipe Louza,UFU
Flavio Keidi Miyazawa,UNICAMP
Francicleber Ferreira,UFC
Gabriel Coutinho,UFMG
Gilberto Farias de Souza Filho,UFPB
Guilherme Oliveira Mota,IME/USP
Guilherme Pimentel Telles,UNICAMP
Guilherme de Castro Mendes Gomes,UFMG
Janio Carlos Nascimento Silva,IFTO
Jayme Szwarcfiter,COPPE/UFRJ
Julio Lopez Hernandez,UNICAMP
Lehilton Pedrosa,UNICAMP
Leila Ribeiro,UFRGS
Lucidio Formiga Cabral,UFPB
Luerbio Faria,UERJ
Luis Antonio Kowada,UFF
Luiz Satoru Ochi,UFF
Manoel Bezerra Campelo Neto,UFC
Marcelo Henriques Carvalho,UFMS
Marcia Fampa,COPPE/UFRJ
Marcia Rosana Cerioli,DCC/UFRJ
Marcio Costa Santos,UFMG
Marco Molinaro,PUC-Rio
Mario Sergio Alvim,UFMG
Mauricio Ayala Rincon,UnB
Maycon Peixoto,UFBA
Mitre Costa Dourado,DCC/UFRJ
Murilo Vicente Goncalves da Silva,UFPR
Orlando Lee,UNICAMP
Pedro Jussieu de Rezende,UNICAMP
Rafael Bordini,PUC-RS
Rafael Schouery,UNICAMP
Raphael Carlos Machado,INMETRO
Renato Carmo,UFPR
Renato Portugal,LNCC
Rian Gabriel Santos Pinheiro,UFAL
Ricardo Dahab,UNICAMP
Roberto Freitas Parente,UFBA
Rosiane de Freitas,UFAM
Rudini Menezes Sampaio,UFC
Santiago Valdes Ravelo,UFRGS
Simone Dantas de Souza,UFF
Sulamita Klein,DCC/UFRJ
Teobaldo Bulhoes,UFPB
Teresa Ludermir,UFPE
Thiago Braga Marcilon,UFCA
Tiago Januario,UFBA
Ueverton Souza,UFF
Victor Campos,UFC
Vinicius Gusmao Pereira de Sa,DCC/UFRJ
Vinicius Santos,UFMG
Yoshiharu Kohayakawa,IME/USP
Yoshiko Wakabayashi,IME/USP
Yuri Frota,UFF
Zhao Liang,FFCLRP/USP
