IEEE Trans. Pattern Analysis Mach. Intelligence (IEEE TPAMI),IEEE CS,171,118,top,10
International Journal of Computer Vision (IJCV),Springer,98,65,top,10
IEEE Trans. Image Processing (IEEE TIP),IEEE SPS,442,101,,10
Image and Vision Computing (IMAVIS),Elsevier,91,36,,10
Computer Vision and Image Understanding (CVIU),Elsevier,140,44,,10
J. Visual Communication and Image Representation (JVCI),Elsevier,152,42,,10
IEEE Trans. Circuits Systems Video Technology (IEEE TCSVT),IEEE CSS,201,57,,10
Pattern Recognition (PR),Elsevier,358,74,,10
Pattern Recognition Letters (PRL),Elsevier,240,51,short,6
Machine Vision and Applications (MVAP),Springer,61,33,,10
