AAAI,AAAI,2590,638,24.6,56,top,8
NIPS,NIPS,3240,678,20.9,101,top,8
IJCAI,IJCAI,2540,660,26,45,top,7
EMNLP,ACL,1376,351,25.5,76,,10
ACL,"ACL",751,195,25.9,67,,10
NAACL-HLT,ACL,1067,281,26.3,61,,10
AISTATS,AISTATS,1111,360,32.4,43,,8
AAMAS,IFAAMAS,567,155,27.3,40,,8
UAI,AUAI,282,87,31,32,,10
LAK,"ACM SIGCHI,SIGWEB",114,36,32,32,,10
GECCO,"ACM SIGEVO",464,180,39,30,,8
EACL,ACL,441,119,26.9,28,,10
ISCA,ACM SIGARCH,322,54,17,54,top,11
ASPLOS,ACM SIGARCH,320,53,16.6,50,top,11
SC,ACM SIGHPC,327,61,18.6,47,top,10
HPCA,IEEE,224,50,22.3,46,top,11
MICRO,IEEE/ACM SIGMICRO,327,61,18,41,top,11
IPDPS,IEEE CS,508,116,22.8,41,,10
PACT,IEEE CS/ACM SIGARCH,108,25,23.1,33,,11
HPDC,ACM SIGARCH,100,19,19,29,,12
ICS,ACM SIGARCH,177,28,15.82,26,,10
Euro-Par,Euro-Par,176,50,28.4,24,,12
SPAA,ACM SIGARCH/SIGACT,120,36,30.0,22,,10
PDP,EUROMICRO,162,52,32,20,,8
ICPP,IEEE CS,211,60,28.4,20,,15
IEEE CLUSTER (2018),IEEE CS,154,44,28.6,20,,10
HiPC,IEEE,184,42,22.8,24,,10
RECOMB,-,193,16,8.3,21,,10
BCB,ACM SIGBio,132,42,31.8,17,,10
BIBM,IEEE CS,414,80,19.3,16,,7
CHI,ACM SIGCHI,2500,600,24.0,85,top,10
CSCW,ACM SIGCHI,530,183,34.5,56,,10
Ubicomp (2016),ACM SIGCHI/MOBILE,389,101,25.9,50,top,10
UIST,ACM SIGCHI/SIGGRAPH,324,73,22.5,44,top,10
HIR,"ACM SIGCHI/SIGAI",211,51,24.2,35,,8
DIS,ACM SIGCHI ,487,107,22.0,31,,10
ICMI,ACM SIGCHI,151,26,17.2,29,,8
MobileHCI,ACM SIGCHI,224,44,19.6,27,,8
IUI,ACM SIGCHI/SIGAI,272,63,23.2,27,,10
TEI,ACM SIGCHI,151,41,27.0,23,,8
ASSETS,SIGACCESS,126,33,26.2,22,,10
ISS,ACM SIGCHI,119,32,26.9,22,,10
AVI,"ACM SIGCHI/SIGWEB/SIGMM",96,26,27.0,21,,9
UMAP,"ACM SIGWEB/SIGCHI",131,41,31.3,21,,8
EICS,ACM SIGCHI ,,,,20,,10
INTERACT,IFIP,221,68,30.7,17,,18
SIGCSE,ACM SIGCSE,221,82,37.1,32,,7
ITiCSE,ACM SIGCSE,241,54,22.4,20,,6
ICER,ACM SIGCSE,108,29,26.8,19,,8
ICML,IMLS,1701,433,25.4,91,top,10
KDD,ACM SIGKDD/SIGMOD,748,130,17.4,73,top,9
ICDM,IEEE CS,778,72,9.2,38,top,10
SDM,SIAM,358,93,25.9,35,,9
RecSys,ACM SIGCHI,125,26,20.8,34,,9
ECML/PKDD,-,364,101,27.7,31,,16
IEEE BigData,IEEE CS,437,79,17.8,25,,10
VLDB,VLDB,750,133,17.7,73,top,12
SIGMOD (2015),ACM SIGMOD,415,106,25.5,59,top,12
ICDE,IEEE CS,356,63,17.7,51,top,12
EDBT,-,168,37,22,32,,12
PODS,ACM SIGMOD,101,29,28.7,26,,12
ICDT,-,,19,,20,,15
ER,-,153,28,18.3,16,,14
EDOC,IEEE CS,62,15,24.2,18,,10
CAiSE,-,178,37,20.8,22,,15
BPM,-,116,19,16.4,24,,16
ICDCS,IEEE CS,531,89,16.8,34,top,10
CCGrid,ACM/IEEE CS,238,59,24.8,37,,10
CLOUD,IEEE CS,111,20,18,39,,8
DSN,IEEE/IFIP,220,49,22.3,32,,12
PerCom,IEEE CS,194,28,14.4,31,top,9
IPSN,IEEE/ACM,104,19,18.3,30,,12
CLOUDCOM,IEEE CS,193,51,26.4,28,,8
RTAS,IEEE CS,85,29,34.1,26,,10
ECRTS,EUROMICRO,79,26,32.9,26,,10
PODC,ACM SIGACT/SIGOPS,154,38,24.7,25,top,10
RTTS,IEEE CS,131,31,23.6,23,,10
ISSRE,IEEE CS/RS,109,34,31.5,22,,12
UCC,IEEE CS/ACM SIGARCH,63,17,26.9,20,,10
Middleware,ACM/IFIP/Usenix,85,20,23.5,19,,12
SRDS,IEEE CS,72,24,33.3,18,,10
CAV,FLoC,191,50,26.2,39,top,16
LICS,ACM SIGLOG; IEEE CS,224,89,39.7,25,,12
FM,-,162,43,26.5,19,,15
FMCAD,-,67,25,37,19,,8
